currency,rates
AED,3.973859
AFN,93.587716
ALL,114.476316
AMD,420.140465
ANG,1.949344
AOA,550.209377
ARS,224.861949
AUD,1.619767
AWG,1.950356
AZN,1.840099
BAM,1.95465
BBD,2.183905
BDT,116.491462
BGN,1.9524279999999998
BHD,0.407966
BIF,2250.61905
BMD,1.082028
BND,1.437148
BOB,7.474568
BRL,5.591164
BSD,1.081659
BTC,4.0046876e-05
BTN,88.927269
BWP,14.25055
BYN,2.7306809999999997
BYR,21207.756431
BZD,2.180207
CAD,1.476537
CDF,2223.568979
CHF,0.997089
CLF,0.03153
CLP,869.723196
CNY,7.4408900000000004
COP,5047.41357
CRC,586.752073
CUC,1.082028
CUP,28.673752
CVE,110.961443
CZK,23.631179
DJF,192.585802
DKK,7.447915
DOP,59.241556
DZD,146.907261
EGP,33.438793
ERN,16.230426
ETB,58.319012
EUR,1.0
FJD,2.393393
FKP,0.881228
GBP,0.8791049999999999
GEL,2.786243
GGP,0.881228
GHS,13.096204
GIP,0.881228
GMD,67.032087
GNF,9364.955427
GTQ,8.431001
GYD,228.22467
HKD,8.493782
HNL,26.67155
HRK,7.593972
HTG,167.650588
HUF,381.541626
IDR,16318.881661
ILS,3.847479
IMP,0.881228
INR,88.899021
IQD,1579.761448
IRR,45742.749973
ISK,148.302844
JEP,0.881228
JMD,163.213219
JOD,0.767593
JPY,141.863665
KES,142.393033
KGS,94.590918
KHR,4388.707575
KMF,499.131887
KPW,973.730249
KRW,1406.117497
KWD,0.33146899999999996
KYD,0.901366
KZT,491.068811
LAK,18372.841952
LBP,16511.753052
LKR,351.55154
LRD,174.4285
LSL,19.789951
LTL,3.194948
LVL,0.654508
LYD,5.188303
MAD,11.104322
MDL,19.972157
MGA,4693.300152
MKD,61.554039
MMK,2271.453096
MNT,3819.025648
MOP,8.746014
MRO,386.283949
MUR,49.924421
MVR,16.684666
MWK,1104.199429
MXN,19.792898
MYR,4.783105
MZN,68.277962
NAD,19.789963
NGN,498.112099
NIO,39.494219
NOK,11.266269
NPR,142.28363
NZD,1.737234
OMR,0.41656499999999996
PAB,1.081659
PEN,4.075988
PGK,3.808289
PHP,58.780109
PKR,306.91707
PLN,4.683231
PYG,7769.392981
QAR,3.939655
RON,4.951315
RSD,117.308126
RUB,82.839971
RWF,1190.231228
SAR,4.063405
SBD,8.894407
SCR,13.861237
SDG,643.807256
SEK,11.207628
SGD,1.436928
SHP,1.3165580000000001
SLE,23.018079
SLL,21370.060943
SOS,615.133871
SRD,38.480713
STD,22395.803052
SVC,9.464432
SYP,2718.45419
SZL,19.790392
THB,37.048667
TJS,11.816893
TMT,3.79792
TND,3.37049
TOP,2.552403
TRY,20.678417
TTD,7.341647
TWD,32.857928
TZS,2531.472492
UAH,39.946313
UGX,4082.579152
USD,1.082028
UYU,42.13521
UZS,12351.354325
VEF,2633994.837158
VES,26.37022
VND,25422.257007
VUV,129.095864
WST,2.954152
XAF,655.611242
XAG,0.046935
XAU,0.000552
XCD,2.924236
XDR,0.806222
XOF,659.496629
XPF,120.240382
YER,270.828673
ZAR,19.670108
ZMK,9739.55672
ZMW,23.011355
ZWL,348.4127
